number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
28,,2025-11-11T21:00:00-05:00,2025-11-11T22:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 52}",7 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
29,,2025-11-11T22:00:00-05:00,2025-11-11T23:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 56}",9 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
30,,2025-11-11T23:00:00-05:00,2025-11-12T00:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 56}",7 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
31,,2025-11-12T00:00:00-05:00,2025-11-12T01:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 56}",7 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
32,,2025-11-12T01:00:00-05:00,2025-11-12T02:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 56}",10 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
33,,2025-11-12T02:00:00-05:00,2025-11-12T03:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 54}",8 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
34,,2025-11-12T03:00:00-05:00,2025-11-12T04:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 54}",9 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
35,,2025-11-12T04:00:00-05:00,2025-11-12T05:00:00-05:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 52}",12 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
36,,2025-11-12T05:00:00-05:00,2025-11-12T06:00:00-05:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 54}",12 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
37,,2025-11-12T06:00:00-05:00,2025-11-12T07:00:00-05:00,True,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 52}",12 mph,SW,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny,
38,,2025-11-12T07:00:00-05:00,2025-11-12T08:00:00-05:00,True,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 52}",13 mph,SW,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny,
39,,2025-11-12T08:00:00-05:00,2025-11-12T09:00:00-05:00,True,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 50}",13 mph,SW,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
40,,2025-11-12T09:00:00-05:00,2025-11-12T10:00:00-05:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 48}",13 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
41,,2025-11-12T10:00:00-05:00,2025-11-12T11:00:00-05:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 45}",15 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
42,,2025-11-12T11:00:00-05:00,2025-11-12T12:00:00-05:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 44}",14 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
